id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_homestay,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,0,UNIT,2018
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0,UNIT,2018
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0,UNIT,2018
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,66,UNIT,2018
5,32,JAWA BARAT,3205,KABUPATEN GARUT,30,UNIT,2018
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,37,UNIT,2018
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,UNIT,2018
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,85,UNIT,2018
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,UNIT,2018
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,UNIT,2018
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,UNIT,2018
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,UNIT,2018
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,15,UNIT,2018
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,UNIT,2018
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,UNIT,2018
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,UNIT,2018
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,66,UNIT,2018
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,39,UNIT,2018
19,32,JAWA BARAT,3271,KOTA BOGOR,0,UNIT,2018
20,32,JAWA BARAT,3272,KOTA SUKABUMI,0,UNIT,2018
21,32,JAWA BARAT,3273,KOTA BANDUNG,100,UNIT,2018
22,32,JAWA BARAT,3274,KOTA CIREBON,0,UNIT,2018
23,32,JAWA BARAT,3275,KOTA BEKASI,0,UNIT,2018
24,32,JAWA BARAT,3276,KOTA DEPOK,0,UNIT,2018
25,32,JAWA BARAT,3277,KOTA CIMAHI,15,UNIT,2018
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,5,UNIT,2018
27,32,JAWA BARAT,3279,KOTA BANJAR,0,UNIT,2018
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,0,UNIT,2019
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,153,UNIT,2019
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,15,UNIT,2019
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,154,UNIT,2019
32,32,JAWA BARAT,3205,KABUPATEN GARUT,140,UNIT,2019
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,37,UNIT,2019
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,UNIT,2019
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,85,UNIT,2019
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,UNIT,2019
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,5,UNIT,2019
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,UNIT,2019
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,UNIT,2019
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,54,UNIT,2019
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,54,UNIT,2019
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,36,UNIT,2019
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,UNIT,2019
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,85,UNIT,2019
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,134,UNIT,2019
46,32,JAWA BARAT,3271,KOTA BOGOR,20,UNIT,2019
47,32,JAWA BARAT,3272,KOTA SUKABUMI,0,UNIT,2019
48,32,JAWA BARAT,3273,KOTA BANDUNG,100,UNIT,2019
49,32,JAWA BARAT,3274,KOTA CIREBON,3,UNIT,2019
50,32,JAWA BARAT,3275,KOTA BEKASI,0,UNIT,2019
51,32,JAWA BARAT,3276,KOTA DEPOK,1,UNIT,2019
52,32,JAWA BARAT,3277,KOTA CIMAHI,18,UNIT,2019
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,UNIT,2019
54,32,JAWA BARAT,3279,KOTA BANJAR,0,UNIT,2019
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,0,UNIT,2020
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,174,UNIT,2020
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,15,UNIT,2020
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,277,UNIT,2020
59,32,JAWA BARAT,3205,KABUPATEN GARUT,140,UNIT,2020
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,38,UNIT,2020
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,5,UNIT,2020
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,85,UNIT,2020
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,UNIT,2020
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,37,UNIT,2020
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,30,UNIT,2020
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,UNIT,2020
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,104,UNIT,2020
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,54,UNIT,2020
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,77,UNIT,2020
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,UNIT,2020
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,85,UNIT,2020
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,135,UNIT,2020
73,32,JAWA BARAT,3271,KOTA BOGOR,20,UNIT,2020
74,32,JAWA BARAT,3272,KOTA SUKABUMI,15,UNIT,2020
75,32,JAWA BARAT,3273,KOTA BANDUNG,100,UNIT,2020
76,32,JAWA BARAT,3274,KOTA CIREBON,3,UNIT,2020
77,32,JAWA BARAT,3275,KOTA BEKASI,0,UNIT,2020
78,32,JAWA BARAT,3276,KOTA DEPOK,1,UNIT,2020
79,32,JAWA BARAT,3277,KOTA CIMAHI,20,UNIT,2020
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,5,UNIT,2020
81,32,JAWA BARAT,3279,KOTA BANJAR,0,UNIT,2020
